epochs steps out_loss offset_loss train_accuracy time
12 18 1.333 2.535 0.676 264.754
12 19 1.181 2.480 0.711 264.978
12 20 1.239 2.348 0.670 265.193
12 21 1.070 2.732 0.738 265.392
12 22 1.222 2.495 0.731 265.670
12 23 1.370 2.618 0.669 265.971
12 24 1.394 2.528 0.637 266.189
12 25 0.981 2.471 0.738 266.427
12 26 1.228 2.719 0.660 266.624
12 27 1.627 2.788 0.566 266.830
12 28 1.028 2.535 0.714 267.035
12 29 1.627 2.869 0.608 267.238
12 30 1.451 2.590 0.633 267.441
12 31 1.343 2.479 0.644 267.646
12 32 1.338 2.520 0.633 267.849
12 33 1.438 2.888 0.661 268.062
12 34 1.593 2.693 0.580 268.261
12 35 1.396 2.694 0.656 268.450
12 36 1.279 2.595 0.663 268.633
12 37 1.220 2.454 0.713 268.825
12 38 1.098 2.453 0.705 269.010
12 39 1.050 2.478 0.762 269.201
12 40 1.239 2.664 0.689 269.410
12 41 1.364 2.758 0.765 269.603
12 42 1.250 2.617 0.699 269.814
12 43 1.216 2.440 0.692 269.998
12 44 1.536 2.759 0.576 270.198
12 45 1.681 2.737 0.553 270.393
12 46 1.186 2.671 0.700 270.582
12 47 1.218 2.507 0.668 270.771
12 48 1.404 2.624 0.659 270.965
12 49 0.729 2.500 0.846 271.167
13 0 1.577 2.541 0.600 281.970
13 1 1.673 2.582 0.553 282.164
13 2 1.085 2.411 0.664 282.642
13 3 1.329 2.403 0.627 283.013
13 4 1.278 2.819 0.684 283.212
13 5 1.218 2.714 0.658 283.480
13 6 1.124 2.590 0.662 283.777
13 7 1.621 2.463 0.594 283.964
13 8 1.382 2.374 0.637 284.162
13 9 1.141 2.638 0.716 284.363
13 10 1.244 2.616 0.698 284.579
13 11 1.469 2.518 0.534 284.784
13 12 1.267 2.573 0.648 285.014
13 13 1.243 2.357 0.608 285.196
13 14 1.257 2.506 0.696 285.430
13 15 1.139 2.701 0.681 285.619
13 16 1.109 2.486 0.655 285.834
13 17 1.310 2.640 0.674 286.049
13 18 1.441 2.410 0.616 286.249
13 19 1.217 2.454 0.654 286.508
13 20 1.196 2.480 0.783 286.735
13 21 1.524 2.493 0.654 286.949
13 22 1.272 2.511 0.680 287.166
13 23 1.412 2.608 0.601 287.388
13 24 1.334 2.526 0.635 287.597
13 25 1.223 2.533 0.711 287.809
13 26 1.403 2.358 0.637 288.024
13 27 1.515 2.760 0.611 288.236
13 28 1.012 2.446 0.754 288.444
13 29 1.121 2.490 0.710 288.638
13 30 0.968 2.276 0.814 288.817
13 31 0.908 2.543 0.748 289.036
13 32 1.229 2.609 0.675 289.229
13 33 1.567 2.466 0.658 289.424
13 34 1.130 2.412 0.706 289.601
13 35 1.106 2.509 0.751 289.801
13 36 1.010 2.515 0.724 290.000
13 37 0.900 2.267 0.769 290.191
13 38 1.300 2.676 0.630 290.396
13 39 1.652 2.415 0.651 290.583
13 40 1.112 2.661 0.716 290.781
13 41 1.315 2.641 0.574 290.984
