epochs steps out_loss offset_loss train_accuracy time
13 14 0.699 2.585 0.796 281.238
13 15 1.228 2.864 0.606 281.531
13 16 1.202 2.582 0.559 281.744
13 17 1.005 2.757 0.680 281.938
13 18 1.183 3.020 0.646 282.163
13 19 1.043 2.793 0.635 282.370
13 20 0.891 2.786 0.687 282.579
13 21 1.370 2.827 0.524 282.794
13 22 1.456 3.098 0.532 283.013
13 23 0.763 2.574 0.800 283.235
13 24 0.986 2.565 0.668 283.464
13 25 0.896 2.630 0.682 283.689
13 26 1.065 2.705 0.621 283.906
13 27 1.052 2.458 0.692 284.125
13 28 1.038 2.799 0.666 284.326
13 29 1.031 2.685 0.604 284.573
13 30 1.062 2.574 0.680 284.783
13 31 1.245 3.004 0.551 285.037
13 32 1.012 2.594 0.693 285.321
13 33 1.162 2.349 0.581 285.525
13 34 1.312 2.913 0.582 285.711
13 35 1.225 2.763 0.633 285.919
13 36 0.549 2.531 0.813 286.123
13 37 1.079 2.662 0.643 286.315
13 38 1.407 2.689 0.526 286.538
13 39 1.057 2.749 0.679 286.745
13 40 0.781 2.665 0.732 286.944
13 41 0.906 2.728 0.724 287.157
